# Longitud de onda (micrones)	Flujo (W)
6.404760299076e-01	1.560361785359e-36
6.406233692343e-01	1.565711196585e-36
6.407707085610e-01	1.571060607812e-36
6.409180478877e-01	1.576410019038e-36
6.410653872144e-01	1.581759430264e-36
6.412127265411e-01	1.587108841490e-36
6.413600658678e-01	1.592458252716e-36
6.415074051945e-01	1.597807663943e-36
6.416547445212e-01	1.603157075169e-36
6.418020838479e-01	1.608506486395e-36
6.419494231746e-01	1.613855897621e-36
6.420967625013e-01	1.619205308848e-36
6.422441018280e-01	1.624554720074e-36
6.423914411547e-01	1.629904131300e-36
6.425387804814e-01	1.635253542526e-36
6.426861198081e-01	1.640602953752e-36
6.428334591348e-01	1.645952364979e-36
6.429807984615e-01	1.651301776205e-36
6.431281377882e-01	1.656651187431e-36
6.432754771149e-01	1.662002004392e-36
6.434228164417e-01	1.667489019714e-36
6.435701557684e-01	1.674488210011e-36
6.437174950951e-01	1.684113251864e-36
6.438648344218e-01	1.694502452201e-36
6.440121737485e-01	1.704923866900e-36
6.441595130752e-01	1.715345370127e-36
6.443068524019e-01	1.725766873353e-36
6.444541917286e-01	1.736188376580e-36
6.446015310553e-01	1.746609879806e-36
6.447488703820e-01	1.757031383032e-36
6.448962097087e-01	1.767452886259e-36
6.450435490354e-01	1.777874389485e-36
6.451908883621e-01	1.788295892711e-36
6.453382276888e-01	1.798717395938e-36
6.454855670155e-01	1.809138899164e-36
6.456329063422e-01	1.819560402390e-36
6.457802456689e-01	1.829981905617e-36
6.459275849956e-01	1.840403408843e-36
6.460749243223e-01	1.850824912069e-36
6.462222636490e-01	1.861246415296e-36
6.463696029757e-01	1.871667918522e-36
6.465169423024e-01	1.882089421748e-36
6.466642816291e-01	1.892510924975e-36
6.468116209558e-01	1.902932428201e-36
6.469589602825e-01	1.913353931428e-36
6.471062996092e-01	1.923775434654e-36
6.472536389359e-01	1.934196937880e-36
6.474009782626e-01	1.944618441107e-36
6.475483175893e-01	1.955039944333e-36
6.476956569160e-01	1.965461447559e-36
6.478429962427e-01	1.975882950786e-36
6.479903355694e-01	1.986304454012e-36
6.481376748961e-01	1.996725957238e-36
6.482850142228e-01	2.007147460465e-36
6.484323535495e-01	2.017568963691e-36
6.485796928762e-01	2.027990466917e-36
6.487270322029e-01	2.038411970144e-36
6.488743715296e-01	2.048833473370e-36
6.490217108563e-01	2.059254976596e-36
6.491690501830e-01	2.069676479823e-36
6.493163895097e-01	2.080097983049e-36
6.494637288364e-01	2.090519486275e-36
6.496110681631e-01	2.100940989502e-36
6.497584074898e-01	2.111362492728e-36
6.499057468165e-01	2.121783995954e-36
6.500530861432e-01	2.132205499181e-36
6.502004254699e-01	2.142627002407e-36
6.503477647966e-01	2.153048505634e-36
6.504951041233e-01	2.163470008860e-36
6.506424434500e-01	2.173891512086e-36
6.507897827767e-01	2.184313015313e-36
6.509371221034e-01	2.194734518539e-36
6.510844614301e-01	2.205156021765e-36
6.512318007568e-01	2.215577524992e-36
6.513791400835e-01	2.225999028218e-36
6.515264794102e-01	2.236420531444e-36
6.516738187369e-01	2.246842034671e-36
6.518211580636e-01	2.257263537897e-36
6.519684973903e-01	2.267685041123e-36
6.521158367170e-01	2.278106544350e-36
6.522631760437e-01	2.288528047576e-36
6.524105153704e-01	2.298949550803e-36
6.525578546971e-01	2.309371054029e-36
6.527051940238e-01	2.319792557255e-36
6.528525333505e-01	2.330214060481e-36
6.529998726772e-01	2.340635563708e-36
6.531472120039e-01	2.351057066934e-36
6.532945513306e-01	2.361478570161e-36
6.534418906573e-01	2.371900073387e-36
6.535892299840e-01	2.382321576613e-36
6.537365693107e-01	2.392743079840e-36
6.538839086374e-01	2.403164583066e-36
6.540312479641e-01	2.413586086292e-36
6.541785872908e-01	2.424007589519e-36
6.543259266175e-01	2.434429092745e-36
6.544732659442e-01	2.444850595971e-36
6.546206052709e-01	2.455272099198e-36
6.547679445976e-01	2.465693602424e-36
6.549152839243e-01	2.476115105650e-36
6.550626232510e-01	2.486536608877e-36
6.552099625777e-01	2.496958112103e-36
6.553573019044e-01	2.507379615329e-36
6.555046412311e-01	2.517801118556e-36
6.556519805578e-01	2.528222621782e-36
6.557993198845e-01	2.538644125009e-36
6.559466592112e-01	2.549065628235e-36
6.560939985379e-01	2.559487131461e-36
6.562413378646e-01	2.569908634688e-36
6.563886771913e-01	2.580330137914e-36
6.565360165180e-01	2.590751641140e-36
6.566833558447e-01	2.601173144367e-36
6.568306951714e-01	2.611594647593e-36
6.569780344981e-01	2.622016150819e-36
6.571253738248e-01	2.632437654046e-36
6.572727131515e-01	2.642859157272e-36
6.574200524782e-01	2.653280660498e-36
6.575673918049e-01	2.663702163725e-36
6.577147311316e-01	2.674123666951e-36
6.578620704583e-01	2.684545170177e-36
6.580094097850e-01	2.694966673404e-36
6.581567491117e-01	2.705388176630e-36
6.583040884384e-01	2.715809679856e-36
6.584514277651e-01	2.726231183083e-36
6.585987670918e-01	2.736652686309e-36
6.587461064185e-01	2.747074189536e-36
6.588934457452e-01	2.757495692762e-36
6.590407850719e-01	2.767917195988e-36
6.591881243986e-01	2.778338699215e-36
6.593354637253e-01	2.788760202441e-36
6.594828030520e-01	2.799181705667e-36
6.596301423787e-01	2.809603208894e-36
6.597774817054e-01	2.820024712120e-36
6.599248210321e-01	2.830446215346e-36
6.600721603588e-01	2.840867718573e-36
6.602194996855e-01	2.851289221799e-36
6.603668390122e-01	2.861710725025e-36
6.605141783389e-01	2.872132228252e-36
6.606615176656e-01	2.882553731478e-36
6.608088569923e-01	2.892975234704e-36
6.609561963190e-01	2.903396737931e-36
6.611035356457e-01	2.913818241157e-36
6.612508749724e-01	2.924239744384e-36
6.613982142991e-01	2.934661247610e-36
6.615455536258e-01	2.945082750836e-36
6.616928929525e-01	2.955504254063e-36
6.618402322792e-01	2.965925757289e-36
6.619875716059e-01	2.976347260515e-36
6.621349109326e-01	2.986768763742e-36
6.622822502593e-01	2.997190266968e-36
6.624295895860e-01	3.007611770194e-36
6.625769289127e-01	3.018033273421e-36
6.627242682394e-01	3.028454776647e-36
6.628716075661e-01	3.038876279873e-36
6.630189468928e-01	3.049297783100e-36
6.631662862195e-01	3.059719286326e-36
6.633136255462e-01	3.070140789552e-36
6.634609648729e-01	3.080562292779e-36
6.636083041996e-01	3.090983796005e-36
6.637556435263e-01	3.101405299232e-36
6.639029828530e-01	3.111826802458e-36
6.640503221797e-01	3.122248305684e-36
6.641976615064e-01	3.132669808911e-36
6.643450008331e-01	3.143091312137e-36
6.644923401598e-01	3.153512815363e-36
6.646396794865e-01	3.163934318590e-36
6.647870188132e-01	3.174355821816e-36
6.649343581399e-01	3.184777325042e-36
6.650816974666e-01	3.195198828269e-36
6.652290367933e-01	3.205620331495e-36
6.653763761200e-01	3.216041834721e-36
6.655237154467e-01	3.226463337948e-36
6.656710547734e-01	3.236884841174e-36
6.658183941001e-01	3.247307376767e-36
6.659657334268e-01	3.257863556545e-36
6.661130727535e-01	3.270398882363e-36
6.662604120802e-01	3.287801381068e-36
6.664077514069e-01	3.307388774885e-36
6.665550907336e-01	3.327140842533e-36
6.667024300603e-01	3.346894413125e-36
6.668497693870e-01	3.366647983716e-36
6.669971087137e-01	3.386401554308e-36
6.671444480404e-01	3.406155124900e-36
6.672917873671e-01	3.425908695491e-36
6.674391266938e-01	3.445662266083e-36
6.675864660205e-01	3.465415836675e-36
6.677338053472e-01	3.485169407266e-36
6.678811446739e-01	3.504922977858e-36
6.680284840006e-01	3.524676548450e-36
6.681758233273e-01	3.544430119041e-36
6.683231626540e-01	3.564183689633e-36
6.684705019807e-01	3.583937260225e-36
6.686178413074e-01	3.603690830816e-36
6.687651806341e-01	3.623444401408e-36
6.689125199608e-01	3.643197972000e-36
6.690598592875e-01	3.662951542592e-36
6.692071986142e-01	3.682705113183e-36
6.693545379409e-01	3.702458683775e-36
6.695018772676e-01	3.722212254367e-36
6.696492165943e-01	3.741965824958e-36
6.697965559210e-01	3.761719395550e-36
6.699438952477e-01	3.781472966142e-36
6.700912345744e-01	3.801226536733e-36
6.702385739011e-01	3.820980107325e-36
6.703859132278e-01	3.840733677917e-36
6.705332525546e-01	3.860487248509e-36
6.706805918813e-01	3.880240819100e-36
6.708279312080e-01	3.899994389692e-36
6.709752705347e-01	3.919747960283e-36
6.711226098614e-01	3.939501530875e-36
6.712699491881e-01	3.959255101467e-36
6.714172885148e-01	3.979008672059e-36
6.715646278415e-01	3.998762242650e-36
6.717119671682e-01	4.018515813242e-36
6.718593064949e-01	4.038269383834e-36
6.720066458216e-01	4.058022954425e-36
6.721539851483e-01	4.077776525017e-36
6.723013244750e-01	4.097530095609e-36
6.724486638017e-01	4.117283666200e-36
6.725960031284e-01	4.137037236792e-36
6.727433424551e-01	4.156790807384e-36
6.728906817818e-01	4.176544377975e-36
6.730380211085e-01	4.196297948567e-36
6.731853604352e-01	4.216051519159e-36
6.733326997619e-01	4.235805089751e-36
6.734800390886e-01	4.255558660342e-36
6.736273784153e-01	4.275312230934e-36
6.737747177420e-01	4.295065801526e-36
6.739220570687e-01	4.314819372117e-36
6.740693963954e-01	4.334572942709e-36
6.742167357221e-01	4.354326513301e-36
6.743640750488e-01	4.374080083892e-36
6.745114143755e-01	4.393833654484e-36
6.746587537022e-01	4.413587225076e-36
6.748060930289e-01	4.433340795667e-36
6.749534323556e-01	4.453094366259e-36
6.751007716823e-01	4.472847936851e-36
6.752481110090e-01	4.492601507443e-36
6.753954503357e-01	4.512355078034e-36
6.755427896624e-01	4.532108648626e-36
6.756901289891e-01	4.551862219217e-36
6.758374683158e-01	4.571615789809e-36
6.759848076425e-01	4.591369360401e-36
6.761321469692e-01	4.611122930993e-36
6.762794862959e-01	4.630876501584e-36
6.764268256226e-01	4.650630072176e-36
6.765741649493e-01	4.670383642768e-36
6.767215042760e-01	4.690137213359e-36
6.768688436027e-01	4.709890783951e-36
6.770161829294e-01	4.729644354543e-36
6.771635222561e-01	4.749397925134e-36
6.773108615828e-01	4.769151495726e-36
6.774582009095e-01	4.788905066318e-36
6.776055402362e-01	4.808658636909e-36
6.777528795629e-01	4.828412207501e-36
6.779002188896e-01	4.848165778093e-36
6.780475582163e-01	4.867919348685e-36
6.781948975430e-01	4.887672919276e-36
6.783422368697e-01	4.907426489868e-36
6.784895761964e-01	4.927180060460e-36
6.786369155231e-01	4.946933631051e-36
6.787842548498e-01	4.966687201643e-36
6.789315941765e-01	4.986440772235e-36
