# Longitud de onda (micrones)	Flujo (W)
6.154283443685465427e-01	7.583766314249429662e-37
6.155756836952470668e-01	7.610401148830153488e-37
6.157230230219475908e-01	7.637035983410668504e-37
6.158703623486482259e-01	7.663670817991405694e-37
6.160177016753487500e-01	7.690305652571910688e-37
6.161650410020492741e-01	7.716940487152644537e-37
6.163123803287499092e-01	7.743575321733174587e-37
6.164597196554504333e-01	7.770210156313896743e-37
6.166070589821509573e-01	7.796844990894410089e-37
6.167543983088515924e-01	7.823479825474923435e-37
6.169017376355521165e-01	7.850114660055652272e-37
6.170490769622526406e-01	7.876749494636157266e-37
6.171964162889531647e-01	7.903384329216894456e-37
6.173437556156536887e-01	7.930019163797389426e-37
6.174910949423542128e-01	7.956653998378106571e-37
6.176384342690547369e-01	7.983288832958609894e-37
6.177857735957552610e-01	8.009923667539338731e-37
6.179331129224558961e-01	8.036558502119843725e-37
6.180804522491564201e-01	8.063193336700604301e-37
6.182277915758569442e-01	8.089828171281062521e-37
6.183751309025574683e-01	8.116463005861804723e-37
6.185224702292579924e-01	8.143097840442314728e-37
6.186698095559585164e-01	8.169732675023008485e-37
6.188171488826590405e-01	8.196367509603538536e-37
6.189644882093595646e-01	8.223002344184183850e-37
6.191118275360601997e-01	8.249637178764737287e-37
6.192591668627607238e-01	8.276272013345228917e-37
6.194065061894612478e-01	8.302906847925957754e-37
6.195538455161618829e-01	8.329541682506469430e-37
6.197011848428624070e-01	8.356176517087208290e-37
6.198485241695629311e-01	8.382811351667721636e-37
6.199958634962634552e-01	8.409446186248432098e-37
6.201432028229640903e-01	8.436081020828982195e-37
6.202905421496646143e-01	8.462715855409622497e-37
6.204378814763651384e-01	8.489350689990167582e-37
6.205852208030656625e-01	8.515985524570847975e-37
6.207325601297661866e-01	8.542620359151571802e-37
6.208798994564667106e-01	8.569255193732066772e-37
6.210272387831672347e-01	8.595890028312780575e-37
6.211745781098677588e-01	8.622524862893257171e-37
6.213219174365683939e-01	8.649159697473970974e-37
6.214692567632689180e-01	8.675800228590359568e-37
6.216165960899694420e-01	8.703130802328859244e-37
6.217639354166699661e-01	8.738691914544658600e-37
6.219112747433704902e-01	8.788234215158011245e-37
6.220586140700710143e-01	8.841429668409216041e-37
6.222059533967715383e-01	8.894747413313723130e-37
6.223532927234720624e-01	8.948065299144166301e-37
6.225006320501726975e-01	9.001383184975055490e-37
6.226479713768732216e-01	9.054701070805485298e-37
6.227953107035738567e-01	9.108018956636404556e-37
6.229426500302743808e-01	9.161336842466947956e-37
6.230899893569749048e-01	9.214654728297723553e-37
6.232373286836754289e-01	9.267972614128616083e-37
6.233846680103760640e-01	9.321290499959024175e-37
6.235320073370765881e-01	9.374608385789925057e-37
6.236793466637771122e-01	9.427926271620343172e-37
6.238266859904776362e-01	9.481244157451197281e-37
6.239740253171781603e-01	9.534562043281637112e-37
6.241213646438786844e-01	9.587879929112512937e-37
6.242687039705792085e-01	9.641197814943281852e-37
6.244160432972797325e-01	9.694515700773801865e-37
6.245633826239803676e-01	9.747833586604712771e-37
6.247107219506808917e-01	9.801151472435110839e-37
6.248580612773814158e-01	9.854469358265986665e-37
6.250054006040819399e-01	9.907787244096404779e-37
6.251527399307824640e-01	9.961105129927263900e-37
6.253000792574829880e-01	1.001442301575814641e-36
6.254474185841835121e-01	1.006774090158854949e-36
6.255947579108840362e-01	1.012105878741944536e-36
6.257420972375846713e-01	1.017437667324982338e-36
6.258894365642853064e-01	1.022769455908072259e-36
6.260367758909858305e-01	1.028101244491139462e-36
6.261841152176863545e-01	1.033433033074201653e-36
6.263314545443868786e-01	1.038764821657288902e-36
6.264787938710874027e-01	1.044096610240329711e-36
6.266261331977879268e-01	1.049428398823415790e-36
6.267734725244885619e-01	1.054760187406475142e-36
6.269208118511890859e-01	1.060091975989540173e-36
